"","from","to","weight","type"
"573",80,32,19,"sent"
"574",80,124,16,"sent"
"575",80,294,16,"sent"
"576",80,153,19,"sent"
"577",80,81,19,"sent"
"578",80,32,18,"sent"
"579",80,32,17,"sent"
"580",80,81,19,"sent"
"581",80,295,18,"sent"
"582",80,87,18,"sent"
"583",80,81,17,"sent"
"584",80,124,17,"sent"
"585",80,272,17,"sent"
"586",80,124,18,"sent"
"587",80,272,18,"sent"
"588",80,32,19,"sent"
"589",80,32,18,"sent"
"590",80,256,18,"sent"
"591",80,116,19,"sent"
"592",80,86,18,"sent"
"593",80,296,18,"sent"
"594",80,81,18,"sent"
"595",80,81,18,"sent"
"596",80,181,18,"sent"
"597",80,116,17,"sent"
"598",80,265,17,"sent"
"599",80,185,17,"sent"
"600",80,116,18,"sent"
"601",80,185,18,"sent"
"602",80,124,18,"sent"
"603",80,272,18,"sent"
"604",80,124,18,"sent"
"605",80,272,18,"sent"
"606",80,32,18,"sent"
"607",80,185,19,"sent"
"608",80,297,18,"sent"
"609",80,196,18,"sent"
"610",80,81,15,"sent"
"611",80,87,15,"sent"
"612",80,124,15,"sent"
"613",80,272,15,"sent"
"614",80,81,19,"sent"
"615",80,81,19,"sent"
"616",80,81,18,"sent"
"617",80,81,18,"sent"
"618",80,81,19,"sent"
"619",80,32,19,"sent"
"620",80,32,19,"sent"
"621",80,87,17,"sent"
"622",80,298,17,"sent"
"623",80,299,17,"sent"
"624",80,32,17,"sent"
"625",80,170,17,"sent"
"626",80,87,18,"sent"
"627",80,243,18,"sent"
"628",80,81,19,"sent"
"629",80,81,19,"sent"
"630",80,81,19,"sent"
"631",80,116,19,"sent"
"632",80,170,19,"sent"
"633",80,116,19,"sent"
"634",80,81,17,"sent"
"635",80,87,17,"sent"
"636",80,112,19,"sent"
"637",80,87,19,"sent"
"638",80,81,19,"sent"
"639",80,112,19,"sent"
"640",80,300,18,"sent"
"641",80,90,18,"sent"
"642",80,216,18,"sent"
"643",80,216,18,"sent"
"644",80,301,18,"sent"
"645",80,32,18,"sent"
"646",80,224,17,"sent"
"647",80,302,17,"sent"
"648",80,32,17,"sent"
"649",80,81,17,"sent"
"650",80,124,17,"sent"
"651",80,272,17,"sent"
"652",80,87,19,"sent"
"653",80,87,19,"sent"
"654",80,100,19,"sent"
"655",80,87,19,"sent"
"656",80,81,19,"sent"
"657",80,81,19,"sent"
"658",80,81,18,"sent"
"659",80,81,19,"sent"
"660",80,81,19,"sent"
"661",80,81,19,"sent"
"662",80,32,19,"sent"
"663",80,170,19,"sent"
"664",80,32,19,"sent"
"665",80,32,17,"sent"
"666",80,87,17,"sent"
"667",80,32,17,"sent"
"668",80,292,17,"sent"
"669",80,303,16,"sent"
"670",80,87,16,"sent"
"671",80,87,16,"sent"
"672",80,87,17,"sent"
"673",80,87,17,"sent"
"674",80,213,19,"sent"
"675",80,15,19,"sent"
"676",80,81,18,"sent"
"677",80,81,18,"sent"
"678",80,81,18,"sent"
"679",80,116,19,"sent"
"680",80,81,18,"sent"
"681",80,81,18,"sent"
"682",80,81,19,"sent"
"683",80,81,18,"sent"
"684",80,276,18,"sent"
"685",80,81,19,"sent"
"686",80,81,19,"sent"
"687",80,32,18,"sent"
"688",80,81,18,"sent"
"689",80,304,18,"sent"
"690",80,81,19,"sent"
"691",80,81,19,"sent"
"692",80,81,19,"sent"
"693",80,81,19,"sent"
"694",80,32,19,"sent"
"695",80,32,18,"sent"
"696",80,256,18,"sent"
"697",80,32,18,"sent"
"698",80,32,18,"sent"
"699",80,32,18,"sent"
